duration,protocol_type,service,flag,src_bytes,dst_bytes,land,wrong_fragment,urgent,hot,num_failed_logins,logged_in,num_compromised,root_shell,su_attempted,num_root,num_file_creations,num_shells,num_access_files,num_outbound_cmds,is_host_login,is_guest_login,count,srv_count,serror_rate,srv_serror_rate,rerror_rate,srv_rerror_rate,same_srv_rate,diff_srv_rate,srv_diff_host_rate,dst_host_count,dst_host_srv_count,dst_host_same_srv_rate,dst_host_diff_srv_rate,dst_host_same_src_port_rate,dst_host_srv_diff_host_rate,dst_host_serror_rate,dst_host_srv_serror_rate,dst_host_rerror_rate,dst_host_srv_rerror_rate
0,0,9,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,1.0,1.0,0.0,0.0,0.33,0.67,1.0,255,30,0.12,0.88,0.03,0.06,1.0,1.0,0.0,0.0
0,0,9,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,1,1.0,1.0,0.0,0.0,0.25,0.75,1.0,255,35,0.11,0.89,0.03,0.06,1.0,1.0,0.0,0.0
0,0,9,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,1,1.0,1.0,0.0,0.0,0.20,0.80,1.0,255,40,0.10,0.90,0.02,0.05,1.0,1.0,0.0,0.0
0,0,9,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,1,1.0,1.0,0.0,0.0,0.17,0.83,1.0,255,45,0.09,0.91,0.02,0.04,1.0,1.0,0.0,0.0
0,0,9,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,1,1.0,1.0,0.0,0.0,0.14,0.86,1.0,255,50,0.08,0.92,0.02,0.04,1.0,1.0,0.0,0.0
0,0,9,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,1,1.0,1.0,0.0,0.0,0.12,0.88,1.0,255,55,0.07,0.93,0.02,0.04,1.0,1.0,0.0,0.0
0,0,9,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,1,1.0,1.0,0.0,0.0,0.10,0.90,1.0,255,60,0.07,0.93,0.01,0.03,1.0,1.0,0.0,0.0
0,0,9,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,1,1.0,1.0,0.0,0.0,0.08,0.92,1.0,255,70,0.06,0.94,0.01,0.03,1.0,1.0,0.0,0.0
0,0,9,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,1,1.0,1.0,0.0,0.0,0.07,0.93,1.0,255,80,0.05,0.95,0.01,0.02,1.0,1.0,0.0,0.0
0,0,9,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,1,1.0,1.0,0.0,0.0,0.06,0.94,1.0,255,90,0.04,0.96,0.01,0.02,1.0,1.0,0.0,0.0
0,0,9,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22,1,1.0,1.0,0.0,0.0,0.05,0.95,1.0,255,100,0.04,0.96,0.01,0.02,1.0,1.0,0.0,0.0
0,0,9,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25,1,1.0,1.0,0.0,0.0,0.04,0.96,1.0,255,120,0.03,0.97,0.01,0.02,1.0,1.0,0.0,0.0
0,0,9,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30,1,1.0,1.0,0.0,0.0,0.03,0.97,1.0,255,140,0.03,0.97,0.01,0.01,1.0,1.0,0.0,0.0
0,0,9,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,35,1,1.0,1.0,0.0,0.0,0.03,0.97,1.0,255,160,0.02,0.98,0.01,0.01,1.0,1.0,0.0,0.0
0,0,9,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40,1,1.0,1.0,0.0,0.0,0.02,0.98,1.0,255,180,0.02,0.98,0.01,0.01,1.0,1.0,0.0,0.0
